name,scet,value,type,valueType
TEST_TREND_1,2024-140T00:00:00,5.1,trend,DERIVED
TEST_TREND_2,2024-140T01:10:00,5.2,trend,DERIVED
TEST_TREND_3,2024-140T02:20:00,5.3,trend,DERIVED
TEST_TREND_1,2024-140T01:00:00,6.1,trend,DERIVED
TEST_TREND_2,2024-140T02:10:00,6.2,trend,DERIVED
TEST_TREND_3,2024-140T03:20:00,6.3,trend,DERIVED
TEST_TREND_1,2024-140T02:00:00,7.1,trend,DERIVED
TEST_TREND_2,2024-140T03:10:00,7.2,trend,DERIVED
TEST_TREND_3,2024-140T04:20:00,7.3,trend,DERIVED
TEST_TREND_1,2024-140T03:00:00,8.1,trend,DERIVED
TEST_TREND_2,2024-140T04:10:00,8.2,trend,DERIVED
TEST_TREND_3,2024-140T05:20:00,8.3,trend,DERIVED
